"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP013642",11,"2013-07-29","Iowa State University","Schnable Lab","ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Genomic DNA was isolated from two-week-old seedlings of the inbreds B73 and Mo17 as well as from two IBM RILs: M0022 and M0023 Exome",NA,"PRJNA168187","2012-06-08","To date, microarray-based genotyping of large, complex plant genomes has been complicated by the need to perform genome complexity reduction to obtain sufficiently strong hybridization signals. Genome complexity reduction techniques are, however, tedious and can introduce unwanted variables into genotyping assays. Here, we report a microarray-based genotyping technology for complex genomes (such as the 2.3 GB maize genome) that does not require genome complexity reduction prior to hybridization. Approximately 200,000 long oligonucleotide probes were identified as being polymorphic between the inbred parents of a mapping population and used to genotype two recombinant inbred lines. While multiple hybridization replicates provided ~97% accuracy, even a single replicate provided ~95% accuracy. Genotyping accuracy was further increased to >99% by utilizing information from adjacent probes. This microarray-based method provides a simple, high-density genotyping approach for large, complex genomes.",NA,"2013"
"SRP022165",11,"2013-11-15","China Agricultural University",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Transcriptome or Gene expression",NA,"PRJNA200362",NA,"The classical maize mutant lazy1 (la1), displayed prostrate growth with reduced shoot gravitropism, To examine the genome-wide effect of the ZmLa1 gene, we compared the transcriptome profiling of the third node in la1 mutant with those in wild-type plants segregating from the same HN17 background using RNA-SEQ.",NA,"2013"
"ERP004915",10,"2016-06-28","IPK-Gatersleben","Bioinformatics and Information Technology","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Capture Sequencing in different maize genotypes",NA,"ena-STUDY-IPK-Gatersleben-20-02-2014-11:43:34:863-191",NA,"A major goal of maize genomic research is to identify sequence polymorphisms responsible for phenotypic variation in traits of economic importance. Large-scale detection of sequence variation is critical for linking genes, or genomic regions, to phenotypes. However, due to its size and complexity, it remains expensive to generate whole genome sequences of sufficient coverage for divergent maize lines, even with access to next generation sequencing (NGS) technology. Because methods involving reduction of genome complexity, such as genotyping-by-sequencing (GBS), assess only a limited fraction of sequence variation, targeted sequencing of selected genomic loci offers an attractive alternative. We therefore designed a sequence capture assay to target 29 Mb genomic regions and surveyed a total of 4,648 genes possibly affecting biomass production in 21 diverse inbred maize lines (7 flints, 14 dents). Captured and enriched genomic DNA was sequenced using the 454 NGS platform to 19.6-fold average depth coverage is presented here.   DOI:10.1371/journal.pone.0132120","A major goal of maize genomic research is to identify sequence polymorphisms responsible for phenotypic variation in traits of economic importance. Large-scale detection of sequence variation is critical for linking genes, or genomic regions, to phenotypes. However, due to its size and complexity, it remains expensive to generate whole genome sequences of sufficient coverage for divergent maize lines, even with access to next generation sequencing (NGS) technology. Because methods involving reduction of genome complexity, such as genotyping-by-sequencing (GBS), assess only a limited fraction of sequence variation, targeted sequencing of selected genomic loci offers an attractive alternative. We therefore designed a sequence capture assay to target 29 Mb genomic regions and surveyed a total of 4,648 genes possibly affecting biomass production in 21 diverse inbred maize lines (7 flints, 14 dents). Captured and enriched genomic DNA was sequenced using the 454 NGS platform to 19.6-fold average depth coverage is presented here.   DOI:10.1371/journal.pone.0132120","2016"
"SRP041009",10,"2015-03-25","Institute of Plant Protection, Chinese Academy of","maize pest group","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Ostrinia furnacalisTranscriptome or Gene expression",NA,"PRJNA243921",NA,"The goal of this projection is to identify the olfactory relative genes from the antennae transcriptome of ACB",NA,"2015"
"SRP056837",10,"2015-06-16","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Developmental changes in transcriptomes of two key transport tissues in maize kernels: The Maternal Transfer Zone (MATZ) and Basal Endosperm Transfer Layer (BETL)",NA,"GSE67550",NA,"Transcriptome profiles of MATZ and BETL tissues are compared across three stages of development. Sugars and other nutrients unloaded from vascular tissues in the MATZ are imported by the BETL for utilization by the developing endosperm.  Pronounced changes in gene expression occur in both tissues during kernel development. Overall design: RNAseq data were obtained from duplicate tissue samples isolated by cryomicrodissection of developing maize kernels at three developmental time points; 8 days post-pollination (DAP), 14 DAP and 20 DAP.",NA,"2015"
"ERP008501",9,"2016-06-28","Post-doc student",NA,"ABI_SOLID","AB SOLiD 4 System","INSTRUMENT_MODEL: AB SOLiD 4 System","Herbaspirillum seropedicae transcript profile on maize rhizosphere","E-MTAB-3206 in ArrayExpress: http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3206","E-MTAB-3206",NA,"Herbaspirillum seropedicae is a Betaproteobacterium capable of colonizing epiphytically and endophytically commercial grasses, promoting plant growth. In this study, we utilized RNA-seq to compare the transcriptional profiles of planktonic and maize root-attached H. seropedicae SmR1.","Herbaspirillum seropedicae is a Betaproteobacterium capable of colonizing epiphytically and endophytically commercial grasses, promoting plant growth. In this study, we utilized RNA-seq to compare the transcriptional profiles of planktonic and maize root-attached H. seropedicae SmR1.","2016"
"ERP011736",9,"2016-06-28","Max-Planck-Institute for Chemical Ecology, Germany","European Nucleotide Archive","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Spodoptera larval responses to different diets",NA,"ena-STUDY-MPICE-21-08-2015-13:25:00:284-9",NA,"Adaption to dietary changes is critical to understanding evolution of host plant ranges in polyphagous insects. We compared three taxa of lepidopteran herbivores from the predominantly generalist genus Spodoptera showing different degrees of polyphagy: S. littoralis, with a broad host range including both mono- and dicotyledonous plants, and two strains [Corn (i.e. maize) (C) and Rice (R)] of S. frugiperda adapted primarily to different grass species. Larval performance of the three taxa was compared in a feeding bioassay on artificial pinto diet and maize leaves. On pinto diet all taxa showed good performance, while on maize the two taxa non-specialised on maize showed lower survival, growth rate, and pupal weight compared to the maize-specialist S. frugiperda C-strain. The differential metabolic responses after feeding on the two diets were characterized with RNA-Seq analysis of midgut transcriptomes from the 3rd instar larvae. The generalist S. littoralis showed broader transcriptional readjustments compared with the maize-specialist S. frugiperda C-strain after feeding on maize. Substantial alteration in the expression levels of digestive and detoxifying enzymes, transporters, immunity, and peritrophic membrane associated transcripts was also documented in all the taxa to overcome maize defences. However, the expression level of detoxifying enzymes like UDP glucosyl transferases, which detoxify the most abundant maize leaf toxin 2, 4-dihydroxy-7-methoxy-1, 4-benzoxazin-3-one (DIMBOA), did not alter significantly after feeding on maize. High background expression level of UDP Ã¢â‚¬â€œglucosyl transferases was documented in the maize specialist S. frugiperda C-strain contributing to its fitness on maize. Altogether, these findings provide compelling evidence for divergent diet specific remodelling of digestive physiology among these three Spodoptera taxa. Moreover, the comparisons between the C and R- strain of S. frugiperda fed on the same diet revealed significant genetic divergence among these two closely related strains.","Adaption to dietary changes is critical to understanding evolution of host plant ranges in polyphagous insects. We compared three taxa of lepidopteran herbivores from the predominantly generalist genus Spodoptera showing different degrees of polyphagy: S. littoralis, with a broad host range including both mono- and dicotyledonous plants, and two strains [Corn (i.e. maize) (C) and Rice (R)] of S. frugiperda adapted primarily to different grass species. Larval performance of the three taxa was compared in a feeding bioassay on artificial pinto diet and maize leaves. On pinto diet all taxa showed good performance, while on maize the two taxa non-specialised on maize showed lower survival, growth rate, and pupal weight compared to the maize-specialist S. frugiperda C-strain. The differential metabolic responses after feeding on the two diets were characterized with RNA-Seq analysis of midgut transcriptomes from the 3rd instar larvae. The generalist S. littoralis showed broader transcriptional readjustments compared with the maize-specialist S. frugiperda C-strain after feeding on maize. Substantial alteration in the expression levels of digestive and detoxifying enzymes, transporters, immunity, and peritrophic membrane associated transcripts was also documented in all the taxa to overcome maize defences. However, the expression level of detoxifying enzymes like UDP glucosyl transferases, which detoxify the most abundant maize leaf toxin 2, 4-dihydroxy-7-methoxy-1, 4-benzoxazin-3-one (DIMBOA), did not alter significantly after feeding on maize. High background expression level of UDP Ã¢â‚¬â€œglucosyl transferases was documented in the maize specialist S. frugiperda C-strain contributing to its fitness on maize. Altogether, these findings provide compelling evidence for divergent diet specific remodelling of digestive physiology among these three Spodoptera taxa. Moreover, the comparisons between the C and R- strain of S. frugiperda fed on the same diet revealed significant genetic divergence among these two closely related strains.","2016"
"SRP070859",9,"2016-02-29","Northwest A&F University",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","drought stress Raw sequence reads in maize",NA,"PRJNA312732",NA,"drought stress-responsive genes",NA,"2016"
"SRP037766",9,"2015-12-16","GEO",NA,"ILLUMINA","Illumina Genome Analyzer IIx","INSTRUMENT_MODEL: Illumina Genome Analyzer IIx","Transcriptomics of Bacillus amyloliquefaciens SQR9 to maize root exudates",NA,"GSE54987",NA,"Root exudates play an important role in plant-microbe interaction. The transcriptional profilings of plant growth-promoting rhizobacteria Bacillus amyloliquefaciens SQR9 in response to maize root exudates under static condition, were investigated by an Illumina RNA-seq for understanding the regulatory roles of the root exudates. Overall design: 4 treatments, including 2 blank control (24 h and 48 h-post inoculation, named as 5 and 15, respectively), and 2 treatments with maize root exudates (24 h and 48 h-post inoculation, named as 7 and 17, respectively)",NA,"2015"
"SRP023813",9,"2013-11-19","United States Department of Agriculture, Agricultu","Corn Insects & Crop Genetics","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Diabrotica virgifera virgifera non-diapauising (ND) strain",NA,"PRJNA205954",NA,"Illumina HiSeq reads obtained from sequencing total genomic libraries generated from a pooled collection of 50 adult beetles from the non-diapausing strain of the Western corn rootworm.",NA,"2013"
"SRP029943",9,"2013-11-19","United States Department of Agriculture, Agricultu","Corn Insects & Crop Genetics","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Diabrotica barberi strain:Field collection Genome sequencing",NA,"PRJNA219128",NA,"Collection of Northern corn rootworm from North American locations",NA,"2013"
"SRP057748",8,"2016-05-05","University of Wisconsin-Madison","Jiming Jiang's lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays raw sequence reads",NA,"PRJNA282487",NA,"ChIP-seq in maize inbred line B73 using CenH3 antibody",NA,"2016"
"SRP073019",8,"2016-08-24","Academia Sinica",NA,"ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","Maize bushy stunt phytoplasma raw sequence reads",NA,"PRJNA317715",NA,"Maize bushy stunt phytoplasma; multiple strains collected in Brazil",NA,"2016"
"SRP073048",8,"2016-05-02","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and dek10 mutant Transcriptomes",NA,"GSE80091",NA,"Analysis of  gene expression level. The hypothesis tested in the present study was that dek10 mutant influences the expression of mitochondrial ETC associated genes. Results provide important information of the gene expression level regulation of mitochondrial envelop, proton transport,translation and genes associated with other biological processes. Overall design: Endosperm mRNA profiles of 15DAP wild type (WT) and dek10 mutant were generated by deep sequencing, in triplicate, using Illumina Hiseq 2500 (Zea mays).",NA,"2016"
"SRP018376",8,"2015-08-29","CAAS",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays small RNA and degradome sequencing raw data",NA,"PRJNA188272","2013-02-02","Zea mays small RNA and degradome sequencing raw data.",NA,"2015"
"SRP032947",8,"2015-02-12","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"GSE52290",NA,"Maize anthers, the male reproductive floral organs, express two classes of phased, small interfering RNAs (phasiRNAs). RNA profiling from ten sequential cohorts of staged maize anthers plus mature pollen revealed that 21-nt phased siRNAs (21-phasiRNAs) from 463 loci appear abruptly after germinal and initial somatic cell fate specification and then diminish, while 24-nt phased siRNAs (24-phasiRNAs) from 176 loci coordinately accumulate during meiosis and persist as haploid gametophytes differentiate into pollen. RNA sequencing of anther developmental mutants, together with in situ RNA hybridization detection of phasiRNA biogenesis factors, demonstrated that 21-phasiRNAs and 24-phasiRNAs are independently regulated. Furthermore, 21-phasiRNAs require epidermal cells while 24-phasiRNAs require functional tapetal cells.  Maize phasiRNAs and mammalian PIWI-interacting RNAs (piRNAs) illustrate convergent evolution of small RNAs to support male reproduction. Overall design: Examination of maize phasiRNAs by high throughput sequencing for RNA-seq, small RNA and PARE profiling.",NA,"2015"
"SRP062285",8,"2015-09-07","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Dosage effect on small RNA transcripts in maize copy number alterations",NA,"GSE71959",NA,"We sequenced 10 small RNA samples. 6 samples were taken from the 14-day old maize seedling tissue, and the other 4 samples were taken from 14-day old maize root tissue. Overall design: Examination of small RNA levels in each individual sample",NA,"2015"
"SRP011929",8,"2013-07-29","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","The Zeanome",NA,"NSF-CNV-W22","2012-03-24","Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordinary phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the Zeanome, a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data.",NA,"2013"
"SRP024264",8,"2013-08-01","United States Department of Agriculture, Agricultu","Corn Insects & Crop Genetics","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Diabrotica virgifera virgifera Genome sequencing of field-collected individuals from North American locations",NA,"PRJNA206802",NA,"Pools adult beetles, larvae or pupae collected from corn fields or other habitats in North America.",NA,"2013"
"SRP018039",7,"2015-03-30","Colorado State University","Vivanco","ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","Maize rhizosphere Targeted Locus (Loci)",NA,"PRJNA186752","2013-01-17","Bacterial and archaeal sequence reads derived from the rhizosphere of maize, grown in a variety of different soils.",NA,"2015"
"SRP035577",7,"2015-12-23","GEO",NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays Transcriptome or Gene expression",NA,"GSE54272",NA,"The comparison of the cell-specific transcriptomes of bundle sheath (BS) and mesophyll (M) cells from successive developmental stages of maize leafs reveals that the number of genes preferentially transcribed in one cell type or the other varies considerably from the sink-source transition to mature photosynthetic stages. The number of differentially expressed (DE) genes is maximal at a stage well prior to full maturity, including those that encode key functions for C4 photosynthesis. The developmental dynamics of BS/M differential expression can be used to identify candidates for other C4-related functions and to simplify the identification of specific pathways members from otherwise complex gene families. The candidates for C4-related transcription factors identified with this developmental DE strategy overlap with those identified in studies using alternative strategies. Overall design: Nine day old third leaves of maize sections, located at -1 cm, +4 cm and +9 cm (leaf tip), relative to the sink-source transition, were collected. BS and M cells were captured from each section. There are two duplications for each section and each cell types. A total of 12 libraries were constructed for RNA-seq.",NA,"2015"
"SRP050871",7,"2015-02-05",NA,NA,"ILLUMINA","Illumina MiSeq","INSTRUMENT_MODEL: Illumina MiSeq","Agricultural Soil Targeted Locus (Loci)",NA,"PRJNA264352",NA,"Study of change in soil microbial diversity due to different experimental climatic conditions",NA,"2015"
"SRP004910",7,"2014-07-15","University of California, Davis","Ross-Ibarra Laboratory","ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Genome size and transposable element content as determined by high-throughput  sequencing in maize and Zea luxurians",NA,"B73 and Zea luxurians Illumina Sequence","2010-12-21","The genome of maize (Zea mays ssp. mays) consists mostly of transposable elements   (TEs) and varies in size among lines. This variation extends to other species in the genus Zea: although maize and Zea luxurians diverged only ~140,000 years ago, their genomes differ in size by ~50%. We used paired-end Illumina sequencing to evaluate the potential contribution of TEs to the genome size difference between these two species.  We aligned the reads both to a filtered gene set and to an exemplar database of unique repeats representing 1514 TE families; ~85% of reads mapped against TE repeats in both species. The relative contribution of TE families to the B73 genome was highly correlated with previous estimates, suggesting that reliable estimates of TE content can be obtained from short high-throughput sequencing reads, even at low coverage. Because we used paired-end reads, we could assess whether a TE was near a gene by determining if one paired read mapped to a TE and the second read mapped to a gene. By this method, Class 2 DNA elements were found significantly more often in genic regions than Class 1 RNA elements, but Class 1 elements were found more often near other TEs. Overall, we found that both Class1 and 2 TE families account for 70% of the genome size difference between B73 and luxurians. Interestingly, the relative abundance of TE families was conserved between species (r=0.99), suggesting genome-wide control of TE content rather than family-specific effects.",NA,"2014"
"SRP011930",7,"2013-07-29","Iowa State University","Schnable Lab","ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","The Zeanome",NA,"NSF-CNV-W22xparviglumis","2012-03-24","Maize exhibits levels of structural variation (SV) of non-repeat sequences that are unprecedented among higher eukaryotes. This SV includes hundreds of copy number variants (CNVs) and thousands of presence/absence variants (PAVs). Many of the PAVs contain intact, expressed, single-copy genes that are present in one haplotype but absent from another. The goal of this project is to test the hypothesis that differences in gene copy number (both gains and losses) contribute to the extraordinary phenotypic diversity and plasticity of maize. Maize is a good model for these studies because it exhibits a rapid decay of linkage disequilibrium (LD) and because a draft genome sequence of the B73 inbred and mapping populations are available. As a first step, the Zeanome, a near-complete set of genes present in B73, other maize lines and the wild ancestor of maize (teosinte), is being defined using transcriptomic data.",NA,"2013"
"SRP013966",7,"2013-07-29","Michigan State University",NA,"ILLUMINA","Illumina Genome Analyzer II","INSTRUMENT_MODEL: Illumina Genome Analyzer II","Zea mays subsp. mays Other",NA,"PRJNA169551","2011-03-22","Zea mays subsp. mays GBS ",NA,"2013"
"SRP069759",6,"2016-02-10","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Reference annotation for small RNA-producing genes in maize",NA,"GSE77657",NA,"The goal of the project is to produce a standard annotation of the loci producing small RNAs in the maize genome. To achieve this goal we produced small RNA libraries from four different maize tissues, which will allow the identification of tissue-specific small RNA expression. The availability of bilogical replicates for three of the four tissues analyzed will guarantee robustness in the small RNA genes identification process. Overall design: sRNA profile of maize expanded leaf, wrapped leaf, pollen and embryo, collected from B73 wt plants grown under control conditions. Leaves and pollen samples are replicated three times, embryo one time.",NA,"2016"
"SRP073222",6,"2016-04-18","University of Nebraska-Lincoln","Plant Science for Innovation & Agronomy and Hortic","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Zea mays subsp. mays cultivar:B73 Transcriptome or Gene expression",NA,"PRJNA318061",NA,"Control for cold stress treatment",NA,"2016"
"SRP076696",6,"2016-06-22","Institute of Applied Ecology, CAS","State Key Laboratory of Forest and Soil Ecology","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","soil metagenome Genome sequencing",NA,"PRJNA325687",NA,"Microbial ecological mechanisms on carbon and nitrogen interaction in a black soilThe intensive use of nitrogen (N) fertilizer has induced serious environmental pollution in China. In order to decrease the usage of N, some substitutes should be promoted. Crop residue contains plenty of N and was usually removed after harvesting. It was widely accepted that the application of crop residue would ameliorate soil fertility. However, the interaction of residue carbon (C) and mineral N was poorly understood. In the present study, a black soil in northeast China was selected. Maize stalk was added with or without N fertilization, then different soil N pools and soil microbial community structure were invested during the growth season. Soil microbial community structure would be analyzed by Illumina HiSeq 2500 sequencing platform, and their linkages with soil N pools would be evaluated. The in-depth understanding of the microbial ecological mechanisms on carbon and nitrogen interaction in a black soil, will provide the sound scientific support for reducing the usage of N fertilizer.",NA,"2016"
"SRP040280",6,"2015-07-17","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and pro1 mutant Transcriptomes",NA,"GSE56004",NA,"Analysis of  gene expression level. The hypothesis tested in the present study was that pro1 mutant influence the cell cycle pathway. Results provide important information of the cell cycle-related gene expression level regulation of cell cycle transition from G1 to S phase. Overall design: Seedling mRNA profiles of 14DAG wild type (WT) and pro1 mutant were generated by deep sequencing, in triplicate, using Illumina Hiseq 2000 (Zea mays).",NA,"2015"
"SRP059946",6,"2015-11-04","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","RNAseq analysis of Mo17 seedlings",NA,"GSE70192",NA,"Quantify gene expression by measurement of mRNA in maize inbred line Mo17 mRNA-seq used as part of the validation of CAGE results used for the genome-wide location and dynamic of maize core promoters obtained from the experimental establishment of the TSSs coordinates Overall design: 4 samples",NA,"2015"
"SRP062397",6,"2015-10-07","University of Missouri","Birchler Lab","ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","TB-9Sb raw CENH3 ChIPseq reads (paired-end)",NA,"PRJNA292729",NA,"CENH3 ChIPseq was performed on B73 maize containing the B-A translocation TB-9Sb as a tertiary trisomic to examine the B centromere on TB-9Sb.",NA,"2015"
"SRP065617",6,"2015-11-07","OSMANIA UNIVERSITY","CENTRE FOR PLANT MOLECULAR BIOLOGY","ILLUMINA","NextSeq 500","INSTRUMENT_MODEL: NextSeq 500","Zea mays cultivar:Z59 Transcriptome or Gene expression","Kulab.org: http://kulab.org/","PRJNA300830",NA,"RNA-Seq analysis of the drought responsive transcriptome of Zea mays cultivar Z59",NA,"2015"
"SRP001359",6,"2014-05-26","GEO",NA,"ILLUMINA","Illumina Genome Analyzer","INSTRUMENT_MODEL: Illumina Genome Analyzer","Zea mays Other",NA,"GSE15286-1","2009-11-02","Genome-wide and organ-specific landscapes of epigenetic modifications and their relationships to mRNA and smRNA transcriptomes in maize We report an integrated genome-wide analysis of DNA methylation, histone modifications, smRNAs and mRNA transcriptional activity, using maize as a model. We surveyed the epigenomes of the maize inbred line B73 in shoot and root tissue by Illumina/Solexa 1G parallel sequencing after digesting genomic DNA with a methylation-sensitive restriction enzyme and after conducting chromatin immunoprecipitations (ChIP) using antibodies that target specific histone modifications (H3K4me3, H3K9ac, H3K27me3, H3K36me3, respectively). Additionally, we profiled RNA pools (micro RNA (miRNA), siRNA and mRNA) using the same sequencing strategy. Keywords: Epigenetics, mRNA transcription and small RNAs Overall design: H3K4me3, H3K9ac, H3K27me3, H3K36me3, DNA methylation and mRNA, small RNA profiled from shoots and roots of 14 day-old maize B73 seedlings",NA,"2014"
"SRP043298",6,"2014-06-18","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays Epigenomics",NA,"GSE58549",NA,"Epigenetic modification plays important roles in plant and animal development. DNA methylation can impact the transposable element (TE) silencing, gene imprinting and regulate gene expression.Through a genome-wide analysis, DNA methylation peaks were respectively characterized and mapped in maize embryo and endosperm genome. Distinct methylation level across maize embryo and endosperm was observed. The maize embryo genome contained more DNA methylation peaks than endosperm. However, the endosperm chloroplast genome contained more DNA methylation peaks to compare with the embryo chloroplast genome. DNA methylation regions were characterized and mapped in genome. More CG island (CGI) shore are methylated than CGI in maize suggested that DNA methylation level is not positively correlated with CpG density. The DNA methylation occurred more frequently in the promoter sequence and transcriptional termination region (TTR) than other regions of the genes. The result showed that 99% TEs we characterized are methylated in maize embryo, but some (34.8%) of them are not methylated in endosperm. Maize embryo and endosperm exhibit distinct pattern/level of methylation. The most differentially methylated two regions between embryo and endosperm are High CpG content promoters (HCPs) and high CpG content TTRs (HCTTRs). DNA methylation peaks distinction of mitochondria and chloroplast DNA were less than the nucleus DNA. Our results indicated that DNA methylation is associated with the gene silencing or gene activation in maize endosperm and embryo. Many genes involved in embryogenesis and seed development were found differentially methylated in embryo and endosperm. We found 17 endosperm-specific expressed imprinting genes were hypomethylated in endosperm and were hypermethylated in embryo. The expression of a maize DEMETER -like (DME-like) gene and MBD101 gene (MBD4 homolog) which direct bulk genome DNA demethylation were higher in endosperm than in embryo. These two genes may be associated with the distinct methylation level across maize embryo and endosperm.The methylomes of maize embryo and endosperm was obtained by MeDIP-seq method. The global mapping of maize embryo and endosperm methylation in this study broadened our knowledge of DNA methylation patterns in maize genome, and provided useful information for future studies on maize seed development and regulation of metabolic pathways in different seed tissues. Overall design: Examination of DNA methylated modifications in 2 maize tissues.",NA,"2014"
"SRP018110",6,"2013-07-05",NA,NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays subsp. mays Transcriptome or Gene expression",NA,"PRJNA187035",NA,"RNA-Seq Analysis of the iron responsive transcriptome of the maize inbreds B73 and Mo17.",NA,"2013"
"SRP056334",5,"2016-03-05","GEO",NA,"ILLUMINA","Illumina HiSeq 2500","INSTRUMENT_MODEL: Illumina HiSeq 2500","Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and rea1 mutant Transcriptomes",NA,"GSE67080",NA,"Analysis of  gene expression level. The hypothesis tested in the present study was that rea1 mutant influence the expression of translation and nucleosome assembly associated genes. Results provide important information of the gene expression level regulation of ribosome proteins, elongation factors, histones and genes associated with other biological processes. Overall design: Endosperm mRNA profiles of 15DAP wild type (WT) and rea1 mutant were generated by deep sequencing, in triplicate, using Illumina Hiseq 2500 (Zea mays).",NA,"2016"
"SRP035475",5,"2015-12-12","GEO",NA,"ILLUMINA","Illumina HiSeq 2000","INSTRUMENT_MODEL: Illumina HiSeq 2000","Zea mays",NA,"GSE54166",NA,"Maize RNA Polymerase D1 (RPD1), the largest subunit of RNA polymerase IV (Pol IV), is required for normal plant development, repression of transposable elements (TEs), and for the regulation of specific alleles associated with TEs.  Here, we define the nascent transcriptomes of rpd1 mutant and wild-type (WT) seedlings using global run-on sequencing (GRO-seq) to identify the broader targets of RPD1-based transcriptional regulation.  Surprisingly, although TE-like sequences comprise >85% of the maize genome, most TEs are not transcribed at the seedling stage, even in rpd1 mutants.  Profile comparisons identify the global set of genes and TEs whose transcription is altered in the absence of RPD1, in some cases in antisense orientation.  These results indicate that maize Pol IV specifies Pol II-based transcriptional regulation for certain regions of the maize genome. Overall design: Nuclei isolated from 10 wild-type and 10 rpd1 mutant seedlings were pooled and used to make two global run-on sequencing libraries.",NA,"2015"
